Player,Team,Goals,Shots,Shots on target,Shots on target %,Shots per match,Shots on target per match,Goal per shot,Fouls scored,Penalties scored,Expected goals
Antonee Robinson,Fulham,0,0,0,,0.00,0.00,,0,0,0.0
Joe Rodon,Leeds United,2,8,4,50.0,0.89,0.44,0.25,0,0,0.7
Rodri,Manchester City,0,3,1,33.3,0.92,0.31,0.00,0,0,0.1
Guido Rodríguez,West Ham,0,1,0,0.0,1.00,0.00,0.00,0,0,0.0
Robin Roefs,Sunderland,0,0,0,,0.00,0.00,,0,0,0.0
Morgan Rogers,Aston Villa,1,8,5,62.5,0.90,0.56,0.13,0,0,0.5
Merlin Röhl,Everton,0,3,0,0.0,3.80,0.00,0.00,0,0,0.4
Cristian Romero,Tottenham,0,2,1,50.0,0.29,0.14,0.00,0,0,0.1
Georginio Rutter,Brighton,0,8,5,62.5,1.40,0.87,0.00,0,0,0.4
José Sá,Wolves,0,0,0,,0.00,0.00,,0,0,0.0
Noah Sadiki,Sunderland,0,3,0,0.0,0.34,0.00,0.00,0,0,0.1
Bukayo Saka,Arsenal,2,11,3,27.3,1.98,0.54,0.09,0,1,1.3
Mohamed Salah,Liverpool,3,19,7,36.8,2.13,0.78,0.11,1,1,3.0
William Saliba,Arsenal,0,1,0,0.0,0.17,0.00,0.00,0,0,0.1
Robert Sánchez,Chelsea,0,0,0,,0.00,0.00,,0,0,0.0
Jadon Sancho,Aston Villa,0,3,2,66.7,5.00,3.33,0.00,0,0,0.3
Ibrahim Sangaré,Nott'ham Forest,0,4,1,25.0,0.81,0.20,0.00,0,0,0.2
Andrey Santos,Chelsea,0,5,1,20.0,2.00,0.40,0.00,0,0,0.7
Ismaila Sarr,Crystal Palace,3,9,3,33.3,1.33,0.44,0.33,0,0,3.2
Sávio,Manchester City,0,6,3,50.0,1.61,0.80,0.00,0,0,0.2
Nicolò Savona,Nott'ham Forest,0,0,0,,0.00,0.00,,0,0,0.0
Oliver Scarles,West Ham,0,0,0,,0.00,0.00,,0,0,0.0
Kevin Schade,Brentford,2,14,5,35.7,1.70,0.61,0.14,0,0,2.8
Fabian Schär,Newcastle Utd,0,4,0,0.0,0.95,0.00,0.00,0,0,0.1
Alex Scott,Bournemouth,1,10,2,20.0,1.52,0.30,0.10,0,0,0.5
Jenson Seelt,Sunderland,0,0,0,,0.00,0.00,,0,0,0.0
Matz Sels,Nott'ham Forest,0,0,0,,0.00,0.00,,0,0,0.0
Antoine Semenyo,Bournemouth,6,19,10,52.6,2.11,1.11,0.26,1,1,3.8
Marcos Senesi,Bournemouth,0,3,1,33.3,0.34,0.11,0.00,0,0,0.2
Benjamin Šeško,Manchester Utd,2,15,7,46.7,2.71,1.27,0.13,0,0,1.8
Ryan Sessegnon,Fulham,1,3,2,66.7,0.41,0.27,0.33,0,0,0.5
Luke Shaw,Manchester Utd,0,1,0,0.0,0.12,0.00,0.00,0,0,0.1
Bernardo Silva,Manchester City,0,1,0,0.0,0.19,0.00,0.00,0,0,0.1
Jota Silva,Nott'ham Forest,0,0,0,,0.00,0.00,,0,0,0.0
Xavi Simons,Tottenham,0,4,1,25.0,0.93,0.23,0.00,0,0,0.3
Adam Smith,Bournemouth,0,0,0,,0.00,0.00,,0,0,0.0
Emile Smith Rowe,Fulham,1,4,2,50.0,1.77,0.89,0.25,0,0,0.9
Dominic Solanke,Tottenham,0,2,1,50.0,5.45,2.73,0.00,0,0,0.2
Julio Soler,Bournemouth,0,0,0,,0.00,0.00,,0,0,0.0
Oliver Sonne,Burnley,0,1,0,0.0,0.87,0.00,0.00,0,0,0.0
Borna Sosa,Crystal Palace,0,0,0,,0.00,0.00,,0,0,0.0
Tomáš Souček,West Ham,0,6,3,50.0,1.48,0.74,0.00,0,0,0.5
Djed Spence,Tottenham,0,2,1,50.0,0.31,0.16,0.00,0,0,0.2
Anton Stach,Leeds United,1,14,3,21.4,1.86,0.40,0.07,3,0,0.8
John Stones,Manchester City,0,0,0,,0.00,0.00,,0,0,0.0
Jørgen Strand Larsen,Wolves,1,10,4,40.0,1.66,0.66,0.00,0,1,1.5
Pascal Struijk,Leeds United,0,8,1,12.5,1.00,0.12,0.00,0,0,0.8
Crysencio Summerville,West Ham,0,6,1,16.7,1.13,0.19,0.00,0,0,0.6
Dominik Szoboszlai,Liverpool,1,17,4,23.5,1.89,0.44,0.06,3,0,1.1
Chemsdine Talbi,Sunderland,1,9,2,22.2,1.46,0.32,0.11,0,0,1.0
