Player,Team,Goals,Shots,Shots on target,Shots on target %,Shots per match,Shots on target per match,Goal per shot,Fouls scored,Penalties scored,Expected goals
Maxime Estève,Burnley,0,4,1,25.0,0.45,0.11,0.00,0,0,0.2
Evanilson,Bournemouth,1,15,4,26.7,2.19,0.58,0.07,0,0,1.3
Eberechi Eze,Arsenal,1,14,5,35.7,2.74,0.98,0.07,0,0,1.2
Eberechi Eze,Crystal Palace,0,6,2,33.3,6.51,2.17,0.00,0,0,0.2
Bruno Fernandes,Manchester Utd,2,19,6,31.6,2.14,0.68,0.05,2,1,4.3
Mateus Fernandes,West Ham,1,5,1,20.0,0.96,0.19,0.20,0,0,0.3
Enzo Fernández,Chelsea,3,14,7,50.0,1.78,0.89,0.14,1,1,3.9
Zian Flemming,Burnley,2,5,3,60.0,2.23,1.34,0.40,0,0,0.9
Phil Foden,Manchester City,1,12,3,25.0,2.03,0.51,0.08,0,0,1.1
Wesley Fofana,Chelsea,0,0,0,,0.00,0.00,,0,0,0.0
Lyle Foster,Burnley,2,8,2,25.0,1.24,0.31,0.25,0,0,1.3
Jeremie Frimpong,Liverpool,0,2,1,50.0,2.09,1.05,0.00,0,0,0.1
Niclas Füllkrug,West Ham,0,8,3,37.5,1.90,0.71,0.00,0,0,0.8
Cody Gakpo,Liverpool,3,22,5,22.7,2.81,0.64,0.14,0,0,2.7
Idrissa Gana Gueye,Everton,1,11,2,18.2,1.29,0.23,0.09,0,0,0.8
Ben Gannon-Doak,Bournemouth,0,1,0,0.0,1.96,0.00,0.00,0,0,0.1
Alejandro Garnacho,Chelsea,1,5,2,40.0,2.39,0.96,0.20,0,0,0.3
James Garner,Everton,1,15,4,26.7,1.67,0.44,0.07,3,0,0.7
Lutsharel Geertruida,Sunderland,0,2,1,50.0,1.08,0.54,0.00,0,0,0.7
Tyrique George,Chelsea,0,3,2,66.7,1.86,1.24,0.00,0,0,0.3
Morgan Gibbs-White,Nott'ham Forest,0,20,4,20.0,2.47,0.49,0.00,1,0,1.7
Jamie Gittens,Chelsea,0,5,2,40.0,2.04,0.81,0.00,0,0,0.1
Wilfried Gnonto,Leeds United,0,5,0,0.0,2.34,0.00,0.00,0,0,0.2
João Gomes,Wolves,0,6,0,0.0,0.77,0.00,0.00,0,0,0.4
Rodrigo Gomes,Wolves,1,11,3,27.3,2.99,0.82,0.09,0,0,1.0
Toti Gomes,Wolves,0,2,1,50.0,0.46,0.23,0.00,0,0,0.0
Diego Gómez,Brighton,0,6,2,33.3,1.43,0.48,0.00,1,0,0.3
Joe Gomez,Liverpool,0,1,0,0.0,2.31,0.00,0.00,0,0,0.1
Nicolás González,Manchester City,0,5,0,0.0,0.96,0.00,0.00,0,0,0.2
Anthony Gordon,Newcastle Utd,0,13,4,30.8,2.83,0.87,0.00,0,0,1.3
Ryan Gravenberch,Liverpool,2,10,4,40.0,1.50,0.60,0.20,0,0,0.4
Archie Gray,Tottenham,0,0,0,,0.00,0.00,,0,0,0.0
Jack Grealish,Everton,1,11,5,45.5,1.53,0.70,0.09,0,0,1.1
Brajan Gruda,Brighton,1,9,3,33.3,3.63,1.21,0.11,0,0,1.4
Ilia Gruev,Leeds United,0,0,0,,0.00,0.00,,0,0,0.0
Gabriel Gudmundsson,Leeds United,0,3,0,0.0,0.36,0.00,0.00,0,0,0.2
Marc Guéhi,Crystal Palace,1,8,2,25.0,0.89,0.22,0.13,0,0,0.9
Evann Guessand,Aston Villa,0,2,2,100.0,0.50,0.50,0.00,0,0,0.3
Luis Guilherme,West Ham,0,1,0,0.0,1.58,0.00,0.00,0,0,0.1
Bruno Guimarães,Newcastle Utd,3,12,4,33.3,1.51,0.50,0.25,0,0,1.5
Marc Guiu,Sunderland,0,1,0,0.0,6.00,0.00,0.00,0,0,0.0
Marc Guiu,Chelsea,0,6,1,16.7,3.97,0.66,0.00,0,0,0.6
Malo Gusto,Chelsea,0,3,0,0.0,0.67,0.00,0.00,0,0,0.1
Joško Gvardiol,Manchester City,0,5,1,20.0,1.05,0.21,0.00,0,0,0.2
Viktor Gyökeres,Arsenal,3,18,6,33.3,2.15,0.72,0.11,0,1,3.7
Erling Haaland,Manchester City,11,37,21,56.8,4.31,2.45,0.30,0,0,8.9
Lewis Hall,Newcastle Utd,0,1,0,0.0,0.67,0.00,0.00,0,0,0.0
Jack Harrison,Leeds United,0,6,2,33.3,2.20,0.73,0.00,0,0,0.3
Quilindschy Hartman,Burnley,0,4,2,50.0,0.45,0.22,0.00,0,0,0.1
Jorrel Hato,Chelsea,0,0,0,,0.00,0.00,,0,0,0.0
Kai Havertz,Arsenal,0,0,0,,0.00,0.00,,0,0,0.0
Ayden Heaven,Manchester Utd,0,0,0,,0.00,0.00,,0,0,0.0
Jan Paul van Hecke,Brighton,1,4,2,50.0,0.44,0.22,0.25,0,0,0.4
Hwang Hee-chan,Wolves,1,5,2,40.0,1.50,0.60,0.20,0,0,0.6
Dean Henderson,Crystal Palace,0,0,0,,0.00,0.00,,0,0,0.0
Jordan Henderson,Brentford,0,2,0,0.0,0.27,0.00,0.00,0,0,0.1
Rico Henry,Brentford,0,2,0,0.0,1.04,0.00,0.00,0,0,0.1
Mads Hermansen,West Ham,0,0,0,,0.00,0.00,,0,0,0.0
Aaron Hickey,Brentford,0,1,0,0.0,0.48,0.00,0.00,0,0,0.0
James Hill,Bournemouth,0,2,1,50.0,0.65,0.33,0.00,0,0,0.1
Piero Hincapié,Arsenal,0,0,0,,0.00,0.00,,0,0,0.0
Jack Hinshelwood,Brighton,0,0,0,,0.00,0.00,,0,0,0.0
Ki-Jana Hoever,Wolves,0,1,1,100.0,0.44,0.44,0.00,0,0,0.0
Callum Hudson-Odoi,Nott'ham Forest,1,6,4,66.7,1.12,0.75,0.17,0,0,0.4
Will Hughes,Crystal Palace,0,3,0,0.0,0.63,0.00,0.00,0,0,0.2
Trai Hume,Sunderland,0,6,0,0.0,0.68,0.00,0.00,0,0,0.3
Bashir Humphreys,Burnley,0,0,0,,0.00,0.00,,0,0,0.0
Omari Hutchinson,Nott'ham Forest,0,4,2,50.0,3.53,1.76,0.00,0,0,0.4
Igor,West Ham,0,0,0,,0.00,0.00,,0,0,0.0
Tim Iroegbunam,Everton,0,3,0,0.0,1.01,0.00,0.00,0,0,0.2
Andy Irving,West Ham,0,0,0,,0.00,0.00,,0,0,0.0
Alexander Isak,Liverpool,0,6,1,16.7,2.15,0.36,0.00,0,0,0.9
Wilson Isidor,Sunderland,4,19,6,31.6,3.24,1.02,0.21,0,0,2.1
Alex Iwobi,Fulham,1,12,3,25.0,1.50,0.37,0.08,0,0,0.5
Daniel James,Leeds United,0,5,0,0.0,1.86,0.00,0.00,0,0,0.4
Reece James,Chelsea,1,7,4,57.1,1.04,0.60,0.14,2,0,0.3
Vitaly Janelt,Brentford,0,1,0,0.0,0.74,0.00,0.00,0,0,0.1
Mathias Jensen,Brentford,2,3,2,66.7,1.43,0.95,0.67,0,0,0.5
Igor Jesus,Nott'ham Forest,0,5,2,40.0,2.30,0.92,0.00,0,0,0.9
Álex Jiménez,Bournemouth,0,2,0,0.0,0.57,0.00,0.00,0,0,0.1
Raúl Jiménez,Fulham,1,12,3,25.0,3.33,0.83,0.08,1,0,1.2
João Pedro,Chelsea,2,11,3,27.3,1.31,0.36,0.18,0,0,1.6
Joelinton,Newcastle Utd,0,7,2,28.6,1.18,0.34,0.00,0,0,0.6
Brennan Johnson,Tottenham,2,5,2,40.0,1.24,0.50,0.40,0,0,1.0
Sam Johnstone,Wolves,0,0,0,,0.00,0.00,,0,0,0.0
Curtis Jones,Liverpool,0,4,2,50.0,1.10,0.55,0.00,0,0,0.3
Eli Junior Kroupi,Bournemouth,4,8,5,62.5,4.34,2.71,0.50,0,0,1.5
Hamed Junior Traorè,Bournemouth,0,0,0,,0.00,0.00,,0,0,0.0
James Justin,Leeds United,0,0,0,,0.00,0.00,,0,0,0.0
Filip Jørgensen,Chelsea,0,0,0,,0.00,0.00,,0,0,0.0
Ferdi Kadioglu,Brighton,0,4,2,50.0,0.65,0.32,0.00,0,0,0.3
Sasa Kalajdzic,Wolves,0,0,0,,0.00,0.00,,0,0,0.0
Arnaud Kalimuendo,Nott'ham Forest,0,3,0,0.0,3.80,0.00,0.00,0,0,0.4
Daichi Kamada,Crystal Palace,0,5,2,40.0,0.75,0.30,0.00,0,0,0.4
Boubacar Kamara,Aston Villa,0,2,1,50.0,0.38,0.19,0.00,0,0,0.1
Michael Kayode,Brentford,0,2,0,0.0,0.23,0.00,0.00,0,0,0.1
Michael Keane,Everton,1,8,2,25.0,0.92,0.23,0.13,0,0,0.8
Caoimhín Kelleher,Brentford,0,0,0,,0.00,0.00,,0,0,0.0
Milos Kerkez,Liverpool,1,3,1,33.3,0.41,0.14,0.33,0,0,0.8
Kevin,Fulham,0,2,2,100.0,1.12,1.12,0.00,0,0,0.1
Abdukodir Khusanov,Manchester City,0,0,0,,0.00,0.00,,0,0,0.0
Max Kilman,West Ham,0,2,0,0.0,0.22,0.00,0.00,0,0,0.4
Joshua King,Fulham,0,11,5,45.5,1.82,0.83,0.00,0,0,0.8
Justin Kluivert,Bournemouth,1,7,2,28.6,2.05,0.59,0.14,2,0,0.4
Randal Kolo Muani,Tottenham,0,1,0,0.0,1.23,0.00,0.00,0,0,0.1
Ibrahima Konaté,Liverpool,0,4,0,0.0,0.49,0.00,0.00,0,0,0.6
Ezri Konsa,Aston Villa,0,1,1,100.0,0.13,0.13,0.00,0,0,0.0
Charalampos Kostoulas,Brighton,1,2,1,50.0,13.85,6.92,0.50,0,0,0.2
Mateo Kovačić,Manchester City,0,0,0,,0.00,0.00,,0,0,0.0
Ladislav Krejčí,Wolves,1,6,4,66.7,1.00,0.67,0.17,0,0,0.9
Mohammed Kudus,Tottenham,1,14,5,35.7,1.61,0.57,0.07,2,0,1.4
Jonah Kusi-Asare,Fulham,0,0,0,,0.00,0.00,,0,0,0.0
Maxence Lacroix,Crystal Palace,0,4,1,25.0,0.44,0.11,0.00,0,0,0.3
Senne Lammens,Manchester Utd,0,0,0,,0.00,0.00,,0,0,0.0
Jamaal Lascelles,Newcastle Utd,0,1,0,0.0,4.29,0.00,0.00,0,0,0.0
Josh Laurent,Burnley,0,5,2,40.0,0.93,0.37,0.00,0,0,0.2
Roméo Lavia,Chelsea,0,0,0,,0.00,0.00,,0,0,0.0
Enzo Le Fée,Sunderland,1,2,0,0.0,0.33,0.00,0.00,1,1,0.9
Bernd Leno,Fulham,0,0,0,,0.00,0.00,,0,0,0.0
Jefferson Lerma,Crystal Palace,0,6,2,33.3,2.90,0.97,0.00,0,0,0.5
Rico Lewis,Manchester City,0,1,0,0.0,0.51,0.00,0.00,0,0,0.0
Keane Lewis-Potter,Brentford,0,3,0,0.0,0.63,0.00,0.00,0,0,0.2
Myles Lewis-Skelly,Arsenal,0,0,0,,0.00,0.00,,0,0,0.0
Matthijs de Ligt,Manchester Utd,0,6,1,16.7,0.67,0.11,0.00,0,0,0.9
Victor Lindelöf,Aston Villa,0,0,0,,0.00,0.00,,0,0,0.0
Valentino Livramento,Newcastle Utd,0,0,0,,0.00,0.00,,0,0,0.0
Sean Longstaff,Leeds United,1,8,2,25.0,1.10,0.27,0.13,0,0,0.4
Fer López,Wolves,0,4,1,25.0,3.00,0.75,0.00,0,0,0.1
Florentino Luís,Burnley,0,2,0,0.0,0.38,0.00,0.00,0,0,0.1
Douglas Luiz,Nott'ham Forest,0,1,0,0.0,0.52,0.00,0.00,0,0,0.0
Saša Lukić,Fulham,1,7,1,14.3,1.00,0.14,0.14,0,0,1.5
Ian Maatsen,Aston Villa,0,3,0,0.0,1.67,0.00,0.00,0,0,0.2
Alexis Mac Allister,Liverpool,0,8,2,25.0,1.52,0.38,0.00,0,0,0.5
Noni Madueke,Arsenal,0,5,2,40.0,1.48,0.59,0.00,0,0,0.3
Gabriel Magalhães,Arsenal,1,8,1,12.5,0.89,0.11,0.13,0,0,0.8
Soungoutou Magassa,West Ham,0,0,0,,0.00,0.00,,0,0,0.0
Harry Maguire,Manchester Utd,1,4,1,25.0,1.31,0.33,0.25,0,0,0.3
Kobbie Mainoo,Manchester Utd,0,2,0,0.0,1.25,0.00,0.00,0,0,0.1
Donyell Malen,Aston Villa,2,9,3,33.3,2.71,0.90,0.22,0,0,0.8
Giorgi Mamardashvili,Liverpool,0,0,0,,0.00,0.00,,0,0,0.0
Reinildo Mandava,Sunderland,0,1,0,0.0,0.19,0.00,0.00,0,0,0.0
Omar Marmoush,Manchester City,0,5,2,40.0,2.88,1.15,0.00,1,0,0.8
Callum Marshall,West Ham,0,1,0,0.0,1.50,0.00,0.00,0,0,0.1
Gabriel Martinelli,Arsenal,1,5,3,60.0,2.05,1.23,0.20,0,0,0.8
Emiliano Martínez,Aston Villa,0,0,0,,0.00,0.00,,0,0,0.0
Arthur Masuaku,Sunderland,0,1,0,0.0,0.71,0.00,0.00,0,0,0.1
Pape Matar Sarr,Tottenham,2,4,3,75.0,0.92,0.69,0.50,0,0,0.7
Jean-Philippe Mateta,Crystal Palace,5,27,13,48.1,3.12,1.50,0.11,0,2,7.9
