Player,Team,Passes completed,Passes completed %,Assists,Expected assists,Key passes
Nicolás Domínguez,Nott'ham Forest,98,84.5,0,0.2,5
Gianluigi Donnarumma,Manchester City,281,79.4,0,0.0,0
Patrick Dorgu,Manchester Utd,241,68.9,1,0.8,10
Max Dowman,Arsenal,4,100.0,0,0.0,0
Martin Dúbravka,Burnley,340,57.0,0,0.0,0
Lewis Dunk,Brighton,1162,92.1,0,0.1,2
Odsonne Édouard,Crystal Palace,0,0.0,0,0.0,0
Marcus Edwards,Burnley,36,81.8,0,0.4,3
Hjalmar Ekdal,Burnley,286,86.7,0,0.2,2
Hugo Ekitike,Liverpool,147,72.8,1,0.4,8
Anthony Elanga,Newcastle Utd,200,69.2,1,0.5,8
Harvey Elliott,Liverpool,4,50.0,0,0.0,0
Harvey Elliott,Aston Villa,53,85.5,0,0.1,0
Wataru Endo,Liverpool,22,78.6,1,0.0,1
Romain Esse,Crystal Palace,5,71.4,0,0.0,0
Maxime Estève,Burnley,595,89.3,0,0.4,6
Evanilson,Bournemouth,154,80.2,0,0.6,12
Eberechi Eze,Arsenal,277,84.2,2,1.4,8
Eberechi Eze,Crystal Palace,16,64.0,0,0.0,0
Bruno Fernandes,Manchester Utd,817,78.8,7,3.9,50
Mateus Fernandes,West Ham,421,86.8,1,0.9,17
Enzo Fernández,Chelsea,719,82.9,1,2.8,24
Zian Flemming,Burnley,73,62.9,0,0.1,3
Phil Foden,Manchester City,608,83.3,2,2.4,27
Wesley Fofana,Chelsea,326,90.8,0,0.0,0
Lyle Foster,Burnley,115,62.8,1,0.4,8
Jeremie Frimpong,Liverpool,35,74.5,0,0.4,1
Niclas Füllkrug,West Ham,58,61.7,0,0.2,7
Cody Gakpo,Liverpool,288,69.4,3,2.8,26
Idrissa Gana Gueye,Everton,450,85.6,0,0.5,5
Ben Gannon-Doak,Bournemouth,18,72.0,1,0.1,1
Alejandro Garnacho,Chelsea,157,78.1,2,2.1,9
James Garner,Everton,697,80.1,2,1.3,15
Lutsharel Geertruida,Sunderland,224,87.8,0,0.3,2
Tyrique George,Chelsea,21,87.5,0,0.1,0
Morgan Gibbs-White,Nott'ham Forest,492,78.7,1,1.2,17
Jamie Gittens,Chelsea,108,78.3,2,0.9,9
Wilfried Gnonto,Leeds United,84,75.7,1,0.4,5
João Gomes,Wolves,541,84.0,0,0.6,5
Rodrigo Gomes,Wolves,96,73.8,0,0.2,2
Toti Gomes,Wolves,508,84.9,0,0.2,5
Diego Gómez,Brighton,269,76.6,0,0.8,13
Joe Gomez,Liverpool,113,73.4,2,0.5,4
Nicolás González,Manchester City,794,89.5,0,0.6,6
Anthony Gordon,Newcastle Utd,161,73.5,0,1.3,9
Ryan Gravenberch,Liverpool,755,89.2,2,0.8,13
